PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
k5tJ7,1467,1k1b4/1b1p4/P7/4P2p/1pQB1n2/1B1P2pP/1PPq2P1/6RK b - - 0 37,b7g2 g1g2 d2g2,74,88,2641,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6MuzhEe2#73,
GCbyJ,1467,2Q5/7R/1p3bp1/2p3k1/8/1P1PK3/P1P3q1/8 b - - 22 42,f6d4,121,86,99,endgame mate mateIn1 oneMove,https://lichess.org/80D5cSxR#83,
l7r6O,1467,r2qk2r/pp1n1ppp/3p4/2pP4/4nPPN/7P/PP2P1B1/R1BQK2R b KQkq - 0 12,d8h4 e1f1 h4f2,82,72,48,mate mateIn2 opening short,https://lichess.org/dT15vDGk#23,Benoni_Defense Benoni_Defense_Old_Benoni
e0kXq,1467,1Q6/p4kr1/2p1ppr1/1p5p/1B2b3/1P5q/P4RPP/4R1K1 w - - 4 34,b8f8,78,88,1914,mate mateIn1 middlegame oneMove,https://lichess.org/suMPnI6k/black#66,
M5W3n,1467,r3b1r1/ppp2p1k/5p1p/4pP1Q/2B1P3/3P3R/PPP1K2P/R5q1 b - - 10 23,g8g2 e2f3 g1f2,75,92,653,mate mateIn2 middlegame short,https://lichess.org/882V5wg6#45,
GQUC3,1467,2b2r2/7k/4p1RP/2bp4/1p2pP2/4P3/qPPB4/rNK3Q1 w - - 1 32,g6g7 h7h8 g7h7 h8h7 g1g7,75,93,1082,attraction exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/U4yAhAcn/black#62,
lZwas,1467,1r3r2/6p1/6k1/p1n2pP1/5P2/P1N1nB2/K7/7R w - - 0 31,f3h5 g6h7 h5f7,75,97,10003,discoveredAttack mate mateIn2 middlegame short,https://lichess.org/ar2CHpQq/black#60,
1cf0y,1467,1r4k1/1r4bR/4R1P1/4Pp2/5P2/3pB3/K2N4/8 b - - 0 40,b8a8 e3a7 a8a7 e6a6 a7a6,75,100,612,exposedKing long mate mateIn3 middlegame,https://lichess.org/sL4bACsW#79,
yVzbU,1468,r1b2rk1/ppp2ppp/2np4/4pP2/4P2q/2NP3P/PPPKBnP1/R1B1Q2R b - - 3 11,h4g5,75,96,6315,mate mateIn1 oneMove opening,https://lichess.org/SUc0MT8f#21,Bird_Opening Bird_Opening_Other_variations
OvOMp,1468,8/5Q2/p6k/1p4p1/1P3n2/P4qN1/5P1K/8 w - - 13 52,g3f5,80,77,60,endgame master mate mateIn1 oneMove,https://lichess.org/lYO7tTk9/black#102,
sqE4i,1468,r5r1/1ppk1p2/p2p4/4n3/P3PB2/2P4b/1PB2PPP/R4RK1 b - - 3 20,e5f3 g1h1 h3g2,76,85,250,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/DRZxHahK#39,
