PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3Dp9R,399,8/4rrk1/8/Q3p2p/6p1/2P1R3/PP4PP/5R1K b - - 0 36,f7f1,114,90,390,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/LbTxxdzg#71,
5lROg,399,6k1/Q4ppp/1p6/2b5/5p2/1P2r3/P5PP/4R2K b - - 0 34,e3e1,98,100,133,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/fn8gDx6o#67,
bfWI9,399,5r1k/1p4pp/p7/3Pr1P1/P1p1P2P/2N5/1PB2RK1/4q3 w - - 0 29,f2f8,98,67,144,backRankMate endgame master mate mateIn1 oneMove,https://lichess.org/JZ6KcMA1/black#56,
gNJRp,399,r2n1k1r/1b1Q1pp1/pp1N2qp/2p5/P7/2P4P/1P1P1PP1/R1B1R1K1 b - - 2 20,g6g2,106,83,191,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/IzIMnp9O#39,
hVAbS,399,2r4k/6pp/4R3/8/1p5q/5P2/1P4P1/4R1K1 w - - 0 38,e6e8 c8e8 e1e8,112,96,605,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/wrZX73gz/black#74,
wtIc3,399,r1b3k1/p4ppp/2p1p3/2P5/8/4B3/PP3PPP/3R2K1 w - - 0 21,d1d8,109,99,825,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/PjFpQ6NX/black#40,
dxzRZ,399,1r6/3nppkp/6p1/p1pPp3/2P1P3/P1Q5/5PPP/1N4K1 b - - 0 28,b8b1 c3c1 b1c1,104,100,289,backRankMate endgame mate mateIn2 short,https://lichess.org/cdNwMtxP#55,
bEJvU,399,1r4k1/p1R5/3p3p/3P2p1/5p2/8/P4PPP/6K1 b - - 0 25,b8b1 c7c1 b1c1,101,68,127,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/DaNB2OfU#49,
dYQGE,399,7k/1b2r1np/p2p4/1p6/2nPPR2/3N2PP/PP4B1/6K1 w - - 0 34,f4f8,95,81,147,backRankMate master mate mateIn1 middlegame oneMove,https://lichess.org/LmMegD4C/black#66,
JT9Jg,399,5k2/1p3ppp/6r1/4R3/8/2P4q/PP3PP1/4R1K1 w - - 0 29,e5e8,111,93,700,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/vmwHMf9n/black#56,
i302V,399,2r5/4k1p1/4pp2/3b3Q/p4PP1/P7/1P5P/K1R5 b - - 0 47,c8c1,101,86,112,endgame mate mateIn1 oneMove,https://lichess.org/ffuNcLKq#93,
PS5QM,399,r2q3k/5pp1/pp2p3/4Q3/1P2N3/P7/5PPP/3R2K1 b - - 0 28,d8d1,90,86,144,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/15Uu6CH7#55,
1qROQ,399,1r4k1/5pbp/4pBp1/4P3/7N/8/6PP/1Q5K b - - 0 37,b8b1,93,77,176,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/nTrtzbEe#73,
WVgqk,399,4n1k1/ppp2rpp/1b6/8/3P4/2P5/PP4PP/RNB4K b - - 0 18,f7f1,118,89,378,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/m74kGl4p#35,Italian_Game Italian_Game_Two_Knights_Defense
hVaq5,399,r4rk1/2b2ppp/1p1qp1b1/2Pp4/8/2Q1P2P/P2NBPP1/R1B2RK1 b - - 0 18,d6h2,106,96,282,mate mateIn1 middlegame oneMove,https://lichess.org/ou6UQLzw#35,Slav_Defense Slav_Defense_Three_Knights_Variation
AoZu8,399,r4rk1/pp3ppp/4bq2/3p4/1n1P1PP1/3Q4/P1B4P/R1B2RK1 w - - 0 18,d3h7,103,94,448,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/nLceUrod/black#34,Englund_Gambit_Declined Englund_Gambit_Declined_Reversed_French
rLnvI,399,1Q4rk/3p3p/4pq2/pp1b4/6R1/P1P4P/2P2PP1/6K1 w - - 0 30,g4g8,96,83,74,endgame mate mateIn1 oneMove,https://lichess.org/ARQFRS72/black#58,
WaAdX,399,rn4rk/pbp1b2p/1p1pPp1p/3P4/6q1/2PQ1N2/PPB3PP/RN3RK1 w - - 5 16,d3h7,91,64,128,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/zYE8BO8h/black#30,Owen_Defense Owen_Defense_Other_variations
zcjEK,399,5b1k/pp6/q6p/4N3/3P4/2P5/PP1B2PP/5R1K b - - 1 33,a6f1,93,100,372,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/fFOtbNy0#65,
DdoE2,399,1rbqnrk1/p2p1ppp/1p2p3/4P3/2P1Q3/2NB4/PP3PPP/R3K2R w KQ - 3 13,e4h7,105,93,203,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/CiVl8ibU/black#24,English_Opening English_Opening_Symmetrical_Variation
FyNn9,399,6k1/1p2rppp/1ppR1b2/8/4PP2/8/r1P3PP/4R1K1 w - - 0 23,d6d8 e7e8 d8e8,119,90,854,backRankMate endgame mate mateIn2 short,https://lichess.org/7mrsqoFp/black#44,
HFtAf,399,2r5/p5bk/6pp/5p2/1N6/4P2P/PP3PPB/2R3K1 b - - 0 29,c8c1,91,100,166,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/IfFnkR1I#57,
0KgsT,399,8/p7/k1n3Q1/r7/8/8/6PP/7K b - - 3 39,a5a1 g6b1 a1b1,112,94,303,backRankMate endgame mate mateIn2 short,https://lichess.org/drlvuCaY#77,
8kwgm,399,7k/pp4pp/2r5/8/4r3/1P3p2/1KPR3P/8 w - - 0 29,d2d8 e4e8 d8e8,122,85,459,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/tQsW3UTX/black#56,
SgTFp,399,5k2/1r3p1p/2R1pK1P/3p4/p7/3b4/8/8 w - - 0 41,c6c8,114,93,758,endgame mate mateIn1 oneMove,https://lichess.org/r31egTXR/black#80,
aZRQw,399,5rk1/6p1/4R2p/2P2r2/p7/2R5/P5PP/6K1 b - - 0 34,f5f1,97,100,241,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/b8ptd7Ht#67,
jLvgH,399,4r1k1/1p2r2p/6pB/8/8/8/PP4PP/3Q3K b - - 0 31,e7e1 d1e1 e8e1,92,100,218,backRankMate endgame fork master mate mateIn2 short,https://lichess.org/Gfv5wcLs#61,
O9beO,399,4r1k1/pp3ppp/1bn1r3/P7/1PNP3B/2P2B1Q/5PPP/2R3K1 b - - 0 29,e6e1 c1e1 e8e1,106,85,410,backRankMate mate mateIn2 middlegame short,https://lichess.org/HEp7u2nD#57,
eVKJI,399,5k2/2Q2p1p/4p1p1/3p4/qP6/P4R2/5PPP/6K1 b - - 4 33,a4d1,104,100,196,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/MnajaZW0#65,
KWWNs,399,3rkbR1/ppp5/4p1Np/8/8/8/PPP2PPP/R1B3K1 b - - 4 23,d8d1,95,84,237,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/s9N8foZy#45,
48Blb,399,1n4k1/5p1p/p4qpB/2pP4/P1Pb4/4Q3/5PP1/6K1 w - - 0 32,e3e8,113,90,623,endgame mate mateIn1 oneMove,https://lichess.org/DnI0s9Ys/black#62,
LnIBu,399,rn2r1k1/p2nq1pp/1p1p4/2pN1Q2/8/5P2/PPP1BPPP/3RK2R b K - 1 14,e7e2,97,85,325,mate mateIn1 middlegame oneMove,https://lichess.org/ZFe6txCg#27,Englund_Gambit Englund_Gambit_Other_variations
wb3Vc,399,r1b1k2r/1p3ppp/p1p5/4P1B1/4n3/2P5/P4PPP/3RKB1R w Kkq - 1 13,d1d8,95,83,148,mate mateIn1 middlegame oneMove,https://lichess.org/9DXKEoEK/black#24,Sicilian_Defense Sicilian_Defense_Alapin_Variation
GaNcM,399,2k1r3/ppp2Q2/6p1/2R2n1p/4r3/1P6/PB1P1PPP/3R2K1 b - - 0 27,e4e1 d1e1 e8e1,92,100,199,backRankMate mate mateIn2 middlegame short,https://lichess.org/gdPtagOk#53,
mffyz,399,r7/1p2k3/8/8/1R6/8/5PPP/N5K1 b - - 0 34,a8a1 b4b1 a1b1,112,95,556,backRankMate endgame mate mateIn2 short,https://lichess.org/BxUiBkP3#67,
XoPe2,399,2r4k/p4ppp/4p3/8/8/1P1R4/P4PPP/6K1 b - - 0 22,c8c1 d3d1 c1d1,103,100,155,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/iisNgp59#43,
6F9x9,399,6k1/p2r2p1/1p5p/2p3N1/2P1R3/1P6/P1K2bPP/8 w - - 0 32,e4e8,103,100,248,endgame mate mateIn1 oneMove,https://lichess.org/w6QIX6V0/black#62,
lhYEU,399,r1b2r1k/pp3P1p/6p1/8/3q4/1B5P/PP4P1/RN1Q3K w - - 0 22,d1d4,114,91,515,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/StNMFD1S/black#42,
CTAdE,399,4r1k1/ppp1rpp1/5R1p/8/8/1B4R1/P1P3PP/7K b - - 0 23,e7e1 f6f1 e1f1,109,95,210,backRankMate endgame mate mateIn2 short,https://lichess.org/iveAsB5G#45,
YulIC,399,7k/6pp/8/5p2/3q1P2/P7/1P4PP/2R4K w - - 0 32,c1c8 d4d8 c8d8,105,99,1027,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/NFmLqArO/black#62,
7IJEY,400,r3r1k1/ppp2p2/1b2qB2/7p/2Np4/2P2Q2/PP3PPP/R3R1K1 b - - 3 18,e6e1 a1e1 e8e1,112,79,650,backRankMate mate mateIn2 middlegame short,https://lichess.org/MkSA4jIP#35,Russian_Game Russian_Game_Stafford_Gambit
S1E0A,400,r1bk4/pppp1Bpp/8/8/3b4/8/P3QPPP/6K1 w - - 0 18,e2e8,101,72,212,endgame mate mateIn1 oneMove,https://lichess.org/wFEIreDU/black#34,Italian_Game Italian_Game_Giuoco_Piano
3S4zH,400,8/kp5R/p4r2/P7/4n3/1B5P/1PP5/2K5 b - - 2 45,f6f1,107,83,315,endgame mate mateIn1 oneMove,https://lichess.org/qNyiuzY9#89,
lQtS3,400,5rk1/p1q3rp/8/8/5Rb1/1P1P4/PB4PP/5R1K w - - 0 26,f4f8,108,86,318,mate mateIn1 middlegame oneMove,https://lichess.org/Huy8NQVc/black#50,
CDPKN,400,5k2/5pp1/2p4p/p2p3r/8/1P2R2P/P1q2P2/3NR1K1 w - - 0 28,e3e8,96,86,228,endgame mate mateIn1 oneMove,https://lichess.org/YjxX0khj/black#54,
BKcbs,400,rn5k/6pB/p2b1r2/1p1P2N1/2p3QP/2N5/PP4P1/5R1K b - - 0 27,f6f1,101,88,788,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/OMFljsZW#53,
Iga5H,400,1k6/ppp1r3/8/1P1b4/P7/6PB/5R1K/8 w - - 0 38,f2f8 e7e8 f8e8,112,85,720,backRankMate endgame mate mateIn2 short,https://lichess.org/TLZCxTTI/black#74,
yjprg,400,6k1/2p2ppp/2q5/4b3/4p1P1/rP3P1P/2P5/1K1RR3 w - - 0 30,d1d8 c6e8 d8e8,107,100,642,backRankMate endgame mate mateIn2 short,https://lichess.org/GYwegId9/black#58,
3arhP,400,6k1/pp4pp/4R1P1/8/1P2K3/P1b4r/8/3q4 w - - 1 45,e6e8,112,89,816,endgame mate mateIn1 oneMove,https://lichess.org/PTqpLwTS/black#88,
dDdOZ,400,r4k1b/1p2qr2/2p2pR1/p7/3P4/2P2P2/PP3P1P/6RK w - - 0 30,g6g8,103,80,352,endgame mate mateIn1 oneMove,https://lichess.org/JpRQi6Dm/black#58,
fBxkj,400,7k/6pp/2p2r2/4R3/p1B5/3P3P/PrP3PK/8 w - - 6 38,e5e8 f6f8 e8f8,96,74,146,backRankMate endgame mate mateIn2 short,https://lichess.org/xtk0elAZ/black#74,
tBzFS,400,rn1qr1k1/5ppp/2p5/3p1nb1/pp6/2P5/PP1PQ1PP/RNB1R1K1 w - - 0 16,e2e8 d8e8 e1e8,111,100,362,backRankMate mate mateIn2 opening short,https://lichess.org/fIPbSPe6/black#30,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
IwOBt,400,r1b3k1/pp3ppp/8/3R4/8/B1P3P1/P3rP1P/R5K1 w - - 0 17,d5d8 e2e8 d8e8,115,89,1324,backRankMate endgame mate mateIn2 short,https://lichess.org/RikpJ4vV/black#32,Queens_Gambit_Declined Queens_Gambit_Declined_Ragozin_Defense
yMAjs,400,6k1/5ppp/4r3/p1R5/8/7P/P1Pb1PP1/6K1 w - - 0 28,c5c8 e6e8 c8e8,120,77,144,backRankMate endgame mate mateIn2 short,https://lichess.org/6I08t3wg/black#54,
ekQ11,400,2R2r1k/6pp/6p1/3Bp2q/4P3/7P/1P4P1/7K w - - 2 47,c8f8,102,100,458,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/cjWtYoM8/black#92,
0JPQR,400,7k/2p2p2/1p2p2p/3p4/1Q1P3q/3B2R1/5KPP/r7 w - - 8 34,b4f8,109,88,836,endgame mate mateIn1 oneMove,https://lichess.org/WuCpl0Pf/black#66,
Ljsau,400,5rk1/1p1qbppp/2n1p3/3p4/3P4/1PBQPP2/2B3PP/5RK1 w - - 5 19,d3h7,96,100,184,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/T4wBBGeU/black#36,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
tQpfl,400,r4rk1/pp3ppp/2p1pq2/6b1/3PQ1P1/2PB4/PP2N1PP/R5K1 w - - 0 19,e4h7,114,94,448,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/bVk7vhNs/black#36,Scandinavian_Defense Scandinavian_Defense_Main_Line
Wxu8d,400,1r3r1k/p1q2p2/b1p2Npb/4p3/3p1Q2/2B5/PPP2PPP/2K1R3 w - - 0 24,f4h6,106,96,349,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/qsdRfJ9r/black#46,
IJ8rT,400,2r3k1/p4pp1/1p2p2p/8/1P6/P3P3/3R1PPP/2R3K1 b - - 0 25,c8c1 d2d1 c1d1,114,95,472,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/lLtCHw6y#49,
QYT5z,400,4r2k/7p/p2Q1bp1/5p2/2B5/1P6/6PP/7K b - - 0 34,e8e1 c4f1 e1f1,108,86,675,backRankMate endgame mate mateIn2 short,https://lichess.org/gGKyk00S#67,
SdcXT,400,7k/6pp/8/5q2/1p1P4/4Q3/6PP/6K1 w - - 0 30,e3e8 f5f8 e8f8,118,87,495,endgame mate mateIn2 queenEndgame short,https://lichess.org/trl0QNSN/black#58,
gXT6e,400,1k2r3/pp3p1p/5p2/2P1r3/1P6/8/P2R1PPP/3R2K1 b - - 0 27,e5e1 d1e1 e8e1,117,92,569,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/s9BLWN8a#53,
JvFa8,400,5k2/5p2/5K2/3R4/5pP1/7P/8/1q6 w - - 0 48,d5d8,100,100,102,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/PC75a9D9/black#94,
Qmdr0,400,6k1/5ppp/8/8/1r5P/4RK2/5PP1/8 w - - 2 33,e3e8,102,76,97,backRankMate endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/K3UBaIJX/black#64,
sh9FG,400,r2r2k1/p4p1p/1p2p1p1/8/2R5/P4R2/1P4PP/1B5K b - - 0 25,d8d1 f3f1 d1f1,94,83,549,backRankMate endgame fork mate mateIn2 short,https://lichess.org/ZcVx1Gdn#49,
XobXJ,400,2Qr1k2/4pp1p/6pP/1P2q3/8/4P3/6P1/3R2K1 w - - 2 40,d1d8,100,86,1099,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/bUnN2rcM/black#78,
0CGhZ,400,5k2/p4p1b/3r1Pp1/2R5/7P/6P1/1r4BK/8 w - - 0 45,c5c8 d6d8 c8d8,113,69,171,endgame mate mateIn2 short,https://lichess.org/s6hJiZ1R/black#88,
RjmVX,400,6k1/pp3p2/5B2/4P2p/3Rb3/1P6/P1r2P1P/6K1 b - - 1 25,c2c1 d4d1 c1d1,98,79,166,endgame mate mateIn2 short,https://lichess.org/7Sd0PdAk#49,
EDNez,400,1k6/1pp1R3/p5B1/4b3/6P1/8/PPP2P2/1K1Qq3 b - - 0 25,e1d1,125,82,702,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/QrjUy12W#49,
itz0Y,400,r1bq1rk1/2pnbppp/p7/1p1pP3/1n1P4/3Q1N2/PPB2PPP/RNB1R1K1 w - - 2 13,d3h7,122,89,703,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/5elrfBHb/black#24,Ruy_Lopez Ruy_Lopez_Berlin_Defense
vVLwe,400,r2qk3/p1pppp1p/6r1/3b4/8/1P5P/PQPPP3/R3K3 w Qq - 2 24,b2h8 g6g8 h8g8,109,80,230,endgame mate mateIn2 short,https://lichess.org/OLGucEq5/black#46,
btGLx,400,3r4/5pk1/p3p1p1/1p4N1/6n1/P5P1/1P2RPP1/6K1 b - - 2 30,d8d1 e2e1 d1e1,91,100,340,endgame mate mateIn2 short,https://lichess.org/nzUIPNZ2#59,
2wpcj,400,8/5pkp/6p1/2R5/Pr2P3/8/6PP/7K b - - 0 37,b4b1 c5c1 b1c1,85,74,182,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/Z19iRTKi#73,
oxI6w,400,r1b3k1/q4ppp/p2p1n2/Q1p1p3/2P1P3/3PP3/3N2PP/R3N1K1 w - - 8 22,a5d8 f6e8 d8e8,102,67,156,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Q3ZumAPt/black#42,
fJa1K,400,4r2k/p5p1/5b1p/1pq2B2/8/P6P/1P3PP1/1K2R3 w - - 0 28,e1e8 c5f8 e8f8,94,100,75,endgame mate mateIn2 short,https://lichess.org/fTSJUmEe/black#54,
oIDhh,400,1r3k2/6pp/1q3p2/2P5/p2prP2/2P1P2P/PR1B2P1/K3Q3 b - - 0 36,b6b2,87,62,161,endgame mate mateIn1 oneMove,https://lichess.org/bnGpZ2Ca#71,
GmcoQ,400,8/5pk1/5p1p/P1R5/3r4/1P6/5PPP/6K1 b - - 0 27,d4d1,122,85,1603,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/XsZgP9MD#53,
iLYoQ,400,3r2k1/5pp1/p3pn1p/1p2q3/8/P6P/1P3PP1/1B1R2K1 w - - 0 28,d1d8 f6e8 d8e8,113,95,248,endgame mate mateIn2 short,https://lichess.org/IyeXUGSU/black#54,
uPhiE,400,5rk1/1p3rpp/2n1pq2/2Pp4/P2P4/1N2Q3/1B4PP/R4RK1 b - - 0 22,f6f1 a1f1 f7f1,102,79,352,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/SQMHpy5M#43,
i1Kln,400,6k1/p2q1ppp/4p3/2Pp4/3P4/P3P3/5PPP/1R4K1 w - - 0 24,b1b8 d7c8 b8c8,93,100,97,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/amZu1yV7/black#46,
YXojK,400,r3k3/ppp2pQ1/4q2r/3p2p1/8/5B2/PP3PPP/RN2R1K1 b q - 2 16,e6e1,104,100,531,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/oxPQcIGo#31,Philidor_Defense Philidor_Defense_Other_variations
6K9Yq,400,5rk1/7p/2b3pB/pp6/7P/P1P3P1/4r1P1/5RK1 w - - 0 33,f1f8,104,92,717,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/ZdP7BUK9/black#64,
idGwN,400,6k1/pp3p1p/2p2p1B/2P3pr/1P1P4/4RK2/P7/8 w - - 0 36,e3e8,117,92,1044,endgame mate mateIn1 oneMove,https://lichess.org/rcdAL65W/black#70,
3uW5H,400,3rrbk1/2p2pp1/p6p/1p2pN2/1P2R3/2P5/1P3PPP/R1B3K1 b - - 0 22,d8d1 e4e1 d1e1,98,80,198,backRankMate mate mateIn2 middlegame short,https://lichess.org/b7JxlNBv#43,
E0COW,400,6k1/n5p1/4P1Kp/7P/8/8/8/8 w - - 0 58,e6e7 a7b5 e7e8q,101,78,124,advancedPawn endgame knightEndgame mate mateIn2 promotion short,https://lichess.org/W7JcrRnb/black#114,
ynO1I,400,5k1r/1bq2p1p/5P1b/1p2p3/2n4P/P2Q4/1pP5/1K1R3R w - - 0 27,d3d8 c7d8 d1d8,107,95,392,mate mateIn2 middlegame short,https://lichess.org/tE6W2A5m/black#52,
1yJ0y,400,5k2/7p/p1r1pKp1/5p2/3P2q1/P3P1P1/1R3P1P/8 w - - 0 39,b2b8 c6c8 b8c8,113,88,1305,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/zpZH8FBw/black#76,
R3QvT,400,1r6/5p2/2P1pkp1/2R5/3P1P2/7p/5P1P/6K1 b - - 2 38,b8b1 c5c1 b1c1,95,100,312,endgame mate mateIn2 rookEndgame short,https://lichess.org/P8CAqKCE#75,
XFd7s,400,k1r2Q2/pp6/8/1qp1p1P1/4P1n1/P2P4/1PP5/3K4 w - - 1 36,f8c8,106,93,553,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/5vBUmx8c/black#70,
h8mIJ,400,3k4/6p1/3rB3/5P1p/5n1P/R7/5P2/5K2 b - - 0 51,d6d1,107,72,308,endgame master mate mateIn1 oneMove,https://lichess.org/fRLDQYsz#101,
vuyWI,400,1k1r4/ppp5/2p1Q3/3r4/6P1/8/PPP5/1K4R1 b - - 0 28,d5d1 g1d1 d8d1,113,85,1023,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/N5zRskd0#55,
aSBWN,400,1r6/6pp/5pk1/8/3N4/3R4/6PP/7K b - - 4 42,b8b1 d3d1 b1d1,90,58,96,backRankMate endgame mate mateIn2 short,https://lichess.org/DwwAYJsY#83,
e9Nd9,400,3q2k1/1b3pp1/2p1p2p/1pP1NP2/p3Q3/P7/1P3PPP/6K1 b - - 0 26,d8d1 e4e1 d1e1,111,95,1047,endgame kingsideAttack mate mateIn2 short,https://lichess.org/CrRJIgMi#51,
7hSMe,400,5k2/p4p2/1pb2Pp1/2p2rP1/3p3R/4P3/PPP1R1P1/1K6 b - - 0 29,f5f1 e2e1 f1e1,117,90,350,backRankMate endgame mate mateIn2 short,https://lichess.org/jgnQ4Egs#57,
w86Ov,400,3r2k1/p4ppp/8/8/6n1/N1P5/PP2R1PP/6K1 b - - 0 27,d8d1 e2e1 d1e1,109,96,956,endgame mate mateIn2 short,https://lichess.org/reHxSnLh#53,
9BfL0,400,4r1k1/ppp3pp/8/3q4/8/n1P4P/P1P3P1/R3Q1K1 w - - 0 22,e1e8,98,75,130,endgame mate mateIn1 oneMove,https://lichess.org/pJbwDlM7/black#42,
WEItP,400,2r3k1/4qpp1/p4n1Q/1p1P1P2/2P5/1P4R1/2P3PP/4R2K b - - 0 28,e7e1,102,100,308,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/eSPoVxrm#55,
G6rep,400,6k1/8/8/6B1/1P2r1P1/p2R4/P7/K7 b - - 0 46,e4e1 d3d1 e1d1 g5c1 d1c1,121,85,478,endgame long mate mateIn3,https://lichess.org/wPKVcUBQ#91,
PMYem,400,rn3rk1/ppb2ppp/2pq1n2/1P1p4/P2P4/2NBPQ2/5PPP/R1B2RK1 b - - 0 13,d6h2,120,88,378,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/sIitGki4#25,Semi-Slav_Defense Semi-Slav_Defense_Main_Line
ScC40,400,2R5/3rk1p1/4p1Bp/4P3/pb6/6P1/5K1P/8 w - - 0 29,c8e8,103,73,241,endgame master mate mateIn1 oneMove,https://lichess.org/MPl2Lq8x/black#56,
oyPDo,400,8/pp2NBpk/7p/8/5n2/5n2/PP3P1P/2rR3K b - - 7 25,c1d1,107,71,513,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/wo6xBqVE#49,
SB00i,400,r2q1rk1/pb3ppp/1p2pb2/4n3/8/1NN2P2/P1Q3PP/1BR1K2R w K - 0 19,c2h7,115,98,1142,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/OkCMrvgw/black#36,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
VimtQ,400,1r5k/6pp/4P3/p4pn1/P1r5/4PP2/6PP/1R4K1 w - - 0 30,b1b8 c4c8 b8c8,97,80,174,backRankMate endgame mate mateIn2 short,https://lichess.org/tB6Z6eCP/black#58,
3Y4sT,400,6k1/1B3ppp/p2R2b1/8/8/7P/r4PP1/6K1 w - - 0 27,d6d8,121,68,274,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/FylQ7kGG/black#52,
q0Su7,400,3r3k/1pp2Q1p/p1p4R/P3b3/8/7P/1P4P1/3R3K b - - 0 31,d8d1 f7f1 d1f1,97,85,113,endgame mate mateIn2 short,https://lichess.org/enmv3w3U#61,
Y3uvQ,400,4R3/pp2r2R/2ppk1p1/5bP1/3K1P2/3n4/P7/8 w - - 6 35,h7e7,122,80,438,endgame mate mateIn1 oneMove,https://lichess.org/QH1VhE6j/black#68,
Bz8fh,400,r4k1r/b1pq1p2/p1np1P2/1p1Bp3/4P2Q/3P4/PPP3PP/R4R1K w - - 1 22,h4h8,95,100,297,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/gOufJxHN/black#42,
JOtGU,400,2k4r/pp3p1p/8/1Nbr1p2/5R2/1P6/P5PP/1RB4K b - - 1 21,d5d1 f4f1 d1f1,107,60,157,backRankMate mate mateIn2 middlegame short,https://lichess.org/eWFrA9az#41,
eeC2Q,400,r1b1r1k1/pp3ppp/2pN4/6B1/1P6/P4nP1/2P2P1P/R2K1B1R b - - 0 17,e8e1,92,86,382,mate mateIn1 middlegame oneMove,https://lichess.org/wngufhs6#33,French_Defense French_Defense_Exchange_Variation
DP0CR,400,2k5/p1p5/8/1pN5/2nP1p2/2P2P2/P1K4R/6r1 w - - 2 30,h2h8 g1g8 h8g8,109,94,1442,endgame mate mateIn2 short,https://lichess.org/EP7pUIQ9/black#58,
9DQyn,400,3r2k1/1p3pp1/p6p/4P3/P7/1P4R1/6PP/2B4K b - - 0 33,d8d1,110,98,629,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/cQuKT55k#65,
nEKJT,400,1k6/pp4p1/6p1/4q3/4pp2/2P4P/PP3PP1/3Q2K1 w - - 0 24,d1d8,98,91,550,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/bznfDGOa/black#46,
TH2K1,400,6k1/pp3ppp/n1p5/8/2N1rq2/2P4P/6P1/3Q3K w - - 0 28,d1d8 e4e8 d8e8,121,95,1040,endgame mate mateIn2 short,https://lichess.org/CsaRBtEe/black#54,
fyDZz,400,r3r3/kqQ2pp1/pR5p/1p2P3/5n2/PB6/1P3P2/2K1R3 w - - 5 36,b6b7,100,71,176,mate mateIn1 middlegame oneMove,https://lichess.org/4TuEWrBK/black#70,
e4F0p,400,r2q1rk1/p1p2ppp/8/4P3/4Q3/2P5/P1P2PPP/R1B3K1 b - - 0 16,d8d1 e4e1 d1e1,93,88,121,endgame kingsideAttack mate mateIn2 short,https://lichess.org/9Nq7WIgw#31,Scotch_Game Scotch_Game_Scotch_Gambit
8Mo5W,400,rn1qkbnr/p2bpppp/2p5/8/PpBP4/4PQ2/1P3PPP/RNB1K1NR w KQkq - 1 7,f3f7,92,100,191,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/QX8KaWMS/black#12,Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation
1ldAG,400,6k1/5ppp/R7/8/p3r3/6P1/3r1PKP/8 w - - 2 38,a6a8 d2d8 a8d8 e4e8 d8e8,87,54,96,backRankMate endgame long mate mateIn3 rookEndgame,https://lichess.org/Rs53g4kP/black#74,
